query-id	corpus-id	score
sigir-20141	NCT00000408	0
sigir-20141	NCT00000492	1
sigir-20141	NCT00000501	0
sigir-20141	NCT00001853	0
sigir-20141	NCT00004727	0
sigir-20141	NCT00005127	2
sigir-20141	NCT00005485	2
sigir-20141	NCT00005757	2
sigir-20141	NCT00077948	0
sigir-20141	NCT00108381	0
sigir-20141	NCT00124969	0
sigir-20141	NCT00129233	1
sigir-20141	NCT00134160	0
sigir-20141	NCT00141583	1
sigir-20141	NCT00143195	2
sigir-20141	NCT00149227	1
sigir-20141	NCT00162344	1
sigir-20141	NCT00166231	0
sigir-20141	NCT00175279	2
sigir-20141	NCT00185120	0
sigir-20141	NCT00190489	0
sigir-20141	NCT00202566	0
sigir-20141	NCT00225355	1
sigir-20141	NCT00252421	0
sigir-20141	NCT00285649	0
sigir-20141	NCT00337116	0
sigir-20141	NCT00348803	0
sigir-20141	NCT00356707	0
sigir-20141	NCT00373828	2
sigir-20141	NCT00375089	0
sigir-20141	NCT00413712	0
sigir-20141	NCT00418392	0
sigir-20141	NCT00424021	0
sigir-20141	NCT00454662	0
sigir-20141	NCT00462241	0
sigir-20141	NCT00479908	1
sigir-20141	NCT00486954	0
sigir-20141	NCT00536224	0
sigir-20141	NCT00598728	0
sigir-20141	NCT00623454	0
sigir-20141	NCT00624273	0
sigir-20141	NCT00644319	0
sigir-20141	NCT00683813	2
sigir-20141	NCT00705952	0
sigir-20141	NCT00736333	0
sigir-20141	NCT00745043	0
sigir-20141	NCT00752674	0
sigir-20141	NCT00780260	0
sigir-20141	NCT00797953	1
sigir-20141	NCT00802230	1
sigir-20141	NCT00808652	1
sigir-20141	NCT00809029	2
sigir-20141	NCT00832442	2
sigir-20141	NCT00840593	0
sigir-20141	NCT00848250	0
sigir-20141	NCT00883987	0
sigir-20141	NCT00896285	0
sigir-20141	NCT00925119	0
sigir-20141	NCT00932867	0
sigir-20141	NCT00937365	0
sigir-20141	NCT00951808	0
sigir-20141	NCT00952744	2
sigir-20141	NCT00974116	0
sigir-20141	NCT00979199	1
sigir-20141	NCT00986180	0
sigir-20141	NCT00992927	0
sigir-20141	NCT01028534	0
sigir-20141	NCT01056367	0
sigir-20141	NCT01080274	0
sigir-20141	NCT01087723	0
sigir-20141	NCT01134328	0
sigir-20141	NCT01162902	1
sigir-20141	NCT01167205	0
sigir-20141	NCT01171911	0
sigir-20141	NCT01175889	0
sigir-20141	NCT01203696	1
sigir-20141	NCT01211171	0
sigir-20141	NCT01216020	0
sigir-20141	NCT01228123	0
sigir-20141	NCT01231165	1
sigir-20141	NCT01250262	0
sigir-20141	NCT01253486	2
sigir-20141	NCT01276548	0
sigir-20141	NCT01284179	0
sigir-20141	NCT01290770	0
sigir-20141	NCT01293019	0
sigir-20141	NCT01332188	0
sigir-20141	NCT01334203	0
sigir-20141	NCT01365286	0
sigir-20141	NCT01397994	1
sigir-20141	NCT01407146	1
sigir-20141	NCT01429194	1
sigir-20141	NCT01444833	0
sigir-20141	NCT01450020	0
sigir-20141	NCT01484912	0
sigir-20141	NCT01494870	0
sigir-20141	NCT01506999	0
sigir-20141	NCT01559948	0
sigir-20141	NCT01561001	0
sigir-20141	NCT01576978	0
sigir-20141	NCT01657136	0
sigir-20141	NCT01658033	0
sigir-20141	NCT01660594	1
sigir-20141	NCT01675362	0
sigir-20141	NCT01682057	1
sigir-20141	NCT01719952	0
sigir-20141	NCT01724567	2
sigir-20141	NCT01724996	0
sigir-20141	NCT01736306	0
sigir-20141	NCT01770080	0
sigir-20141	NCT01829659	1
sigir-20141	NCT01838616	0
sigir-20141	NCT01847014	0
sigir-20141	NCT01879293	0
sigir-20141	NCT01904695	0
sigir-20141	NCT02001545	1
sigir-20141	NCT02011646	0
sigir-20141	NCT02015858	0
sigir-20141	NCT02062424	1
sigir-20141	NCT02072694	0
sigir-20141	NCT02078921	0
sigir-20141	NCT02105220	0
sigir-20141	NCT02144636	1
sigir-20141	NCT02148289	0
sigir-20141	NCT02158962	0
sigir-20141	NCT02159625	0
sigir-20141	NCT02190123	0
sigir-20141	NCT02226510	0
sigir-20141	NCT02232607	0
sigir-20141	NCT02271568	1
sigir-20141	NCT02272920	1
sigir-20141	NCT02319161	0
sigir-20141	NCT02347111	0
sigir-20141	NCT02357212	1
sigir-20141	NCT02381340	2
sigir-20141	NCT02390323	0
sigir-20141	NCT02408263	0
sigir-20141	NCT02472938	0
sigir-20141	NCT02507050	0
sigir-20141	NCT02516839	0
sigir-20141	NCT02532699	2
sigir-20141	NCT02608255	1
sigir-20141	NCT02626741	0
sigir-201410	NCT00043277	0
sigir-201410	NCT00102037	0
sigir-201410	NCT00154674	0
sigir-201410	NCT00171054	0
sigir-201410	NCT00314002	0
sigir-201410	NCT00324233	0
sigir-201410	NCT00392639	0
sigir-201410	NCT00471289	0
sigir-201410	NCT00497094	0
sigir-201410	NCT00533156	1
sigir-201410	NCT00633503	0
sigir-201410	NCT00667381	1
sigir-201410	NCT00674778	1
sigir-201410	NCT00736086	1
sigir-201410	NCT00742014	0
sigir-201410	NCT00827957	0
sigir-201410	NCT00838175	0
sigir-201410	NCT00843297	0
sigir-201410	NCT00846846	0
sigir-201410	NCT00970476	0
sigir-201410	NCT01001663	0
sigir-201410	NCT01108120	0
sigir-201410	NCT01121510	1
sigir-201410	NCT01133119	1
sigir-201410	NCT01297387	0
sigir-201410	NCT01397175	0
sigir-201410	NCT01443104	0
sigir-201410	NCT01479153	0
sigir-201410	NCT01556373	0
sigir-201410	NCT01599195	2
sigir-201410	NCT01600482	1
sigir-201410	NCT01631448	0
sigir-201410	NCT01683448	0
sigir-201410	NCT01691911	2
sigir-201410	NCT01745692	0
sigir-201410	NCT01776151	0
sigir-201410	NCT01855698	0
sigir-201410	NCT01868698	0
sigir-201410	NCT01870310	0
sigir-201410	NCT01943344	1
sigir-201410	NCT02033720	0
sigir-201410	NCT02069275	0
sigir-201410	NCT02074371	0
